0.8257096935448757+0.*I	0.5436285229346872+0.*I	0.15057068452350783+0.*I
0.6722759474150888+0.5175404085482256*I	0.44153826151436437+0.3403490568325907*I	0.13335727598585612+0.09845253246298745*I
0.019355578442669476+0.8487102168436225*I	0.012926193406203917+0.5577991544476059*I	0.0041649236690407465+0.16265011355255604*I
0.8136747060633006-0.2404393378584307*I	0.5343253130156632-0.15751092301531106*I	0.16196151804691764-0.04897564120451084*I
0.3936355799096996+0.7519472447964866*I	0.25828273075552394+0.49352502199300086*I	0.0764303852737103+0.1505354183366589*I
0.4948261579205894-0.689657773481259*I	0.3248934168624042-0.4525311034191347*I	0.10002717616503742-0.13653059680135052*I
0.7631318700283268-0.3714867611913686*I	0.5012687928557259-0.24356088887317257*I	0.15215332198371012-0.07510393249370961*I
-0.5266471404277461+0.6658447611627807*I	-0.346280777532257+0.43734473143553154*I	-0.10154981442004793+0.13350501903635925*I
0.7387895895136827+0.4188365913883794*I	0.4855371238758106+0.2752688149980456*I	0.14588238827207808+0.07900051584400342*I
0.8035621026684099+0.2747662168619426*I	0.5280791616619113+0.18061915497882358*I	0.15884950507465742+0.0507702094865432*I
0.18109999139225907+0.8294793559886617*I	0.11851389110918036+0.5448096797462415*I	0.036613482011334145+0.16639737525306217*I
-0.8424266835646356-0.11311495115682343*I	-0.553262358206005-0.07385858770764797*I	-0.16260147834656505-0.021387845404557716*I
0.7392606095405589-0.4198299306212554*I	0.4850249767482165-0.2758078236344533*I	0.14391382813553677-0.07983029310531449*I
-0.5231723659396262+0.669364257572784*I	-0.34365999491224586+0.4399325410440773*I	-0.10057021790950409+0.13416293445416122*I
0.18345642924493-0.8301813102876413*I	0.1200534773140419-0.5452481825669963*I	0.03359525924513416-0.16167779300944882*I
0.4745031774913538+0.7045790336272394*I	0.31133372539689486+0.46299218891562144*I	0.09479835371635822+0.14238135981203612*I
-0.74537585631163+0.4081267349109172*I	-0.489600418819705+0.26758504991262944*I	-0.15049522233200047+0.07940735159212411*I
-0.8342606618607691-0.16040998880564825*I	-0.5481152053592984-0.10553763125050686*I	-0.16845364185910866-0.03176283536329337*I
-0.7862104409260906+0.32496862068094295*I	-0.515823897407008+0.21360507184541921*I	-0.1523973751132442+0.06526362506709477*I
0.7031684526243929+0.47732257375874365*I	0.4616859288475342+0.31380591819773995*I	0.14017945117097558+0.09790008192720952*I
-0.8184671089410169+0.23305844591976294*I	-0.5368957638805495+0.1530604798210033*I	-0.1589853229590398+0.046812538042190155*I
-0.8381188345632468+0.14064123596536884*I	-0.5506430064394319+0.09239090126685376*I	-0.16977438619061466+0.027576671704088958*I
0.6807928072130319+0.5107810619312023*I	0.4466158934253186+0.33499918734771955*I	0.1342152543327991+0.09825504174198811*I
-0.24608734380106845+0.8143348389697197*I	-0.1619759241008431+0.5345837566707131*I	-0.051674200955869005+0.15992998432902333*I
0.8481912551698615+0.06273701833527268*I	0.5571256375090091+0.04143603578550537*I	0.16898077481957594+0.01587799662591332*I
0.24850333748461217+0.8141981895425828*I	0.16269993268689442+0.5345352851782103*I	0.0474822765613038+0.15950617123325686*I
0.39042361461058783-0.7554995685333525*I	0.2559542619238552-0.49618931344701017*I	0.0796145676819605-0.15354383542633118*I
0.44260241734631717-0.7263433422476476*I	0.2901302156996404-0.4769372427771415*I	0.09002412733569845-0.14789937312612264*I
0.29774258143344123+0.7976802897731126*I	0.1951657413678238+0.5238916476864878*I	0.05764123441114258+0.15656539781401554*I
0.5065192410241631-0.6844534807346607*I	0.3328613778397567-0.449268194227109*I	0.09965598561069185-0.1339585099011307*I
0.10322326638476612-0.8446350597043482*I	0.06733116736994288-0.5542997563465802*I	0.023044563753059126-0.17141597794057703*I
0.7041827860057658-0.4787167073348821*I	0.4624385266629128-0.3144743698886587*I	0.1398056708423674-0.09284444155069278*I
0.17658645918872132+0.8330929788636323*I	0.11607984863063715+0.5471015384110347*I	0.03368127403989443+0.1642446877412069*I
-0.4406544291508486-0.7286172245112422*I	-0.28952385320011764-0.4779220698146572*I	-0.08532672902954905-0.14739749999773535*I
0.24080380785812255+0.8163826978161992*I	0.1576707613286825+0.5355075146030667*I	0.04977635867594895+0.16710403130826929*I
0.25867651466499736-0.8115431315246396*I	0.16973912670136046-0.5329580833795288*I	0.04943059188872173-0.16115992720427805*I
-0.7118241312267024+0.46760099378508263*I	-0.46675012794104676+0.3065792880332615*I	-0.14611110907274447+0.09226042596357864*I
0.8498270918008194-0.05117614556462749*I	0.558019787058087-0.03342338992965753*I	0.17261455457217542-0.013425964149814167*I
-0.8511040372182903-0.04435977060065577*I	-0.5584559444125228-0.0286779832891497*I	-0.1686296312404313-0.007641680647133447*I
0.7529961958335323-0.3996803681062586*I	0.4936231391447918-0.26223926886467064*I	0.14985459306076512-0.07820344369731762*I
0.2919248347663769+0.8010026525920412*I	0.19170890754460118+0.5251392229324807*I	0.0588209329937672+0.15858598646900363*I
-0.1918285684624081+0.8295307179692147*I	-0.12578231897321626+0.5446618493065297*I	-0.03788107421512184+0.17120964210607545*I
0.4563193313948936+0.7201833471403771*I	0.2993369266880934+0.47204332467789195*I	0.09310830643775984+0.14260736903646154*I
0.15398981149109697-0.8383779974530213*I	0.10070655145033733-0.5497022379566577*I	0.027861741612022546-0.16972516875206964*I
0.6718684480038306+0.5237789692476185*I	0.4409649785068273+0.34397256412634025*I	0.13479327159101198+0.10933706370545483*I
0.6783365977624713+0.515512179777678*I	0.4452947051896996+0.3384483818761069*I	0.13599629511993516+0.10758907724194004*I
-0.07075313714798184-0.8493616180177439*I	-0.046399352532750945-0.5567230660574697*I	-0.017620675741400943-0.17388403976888092*I
0.8361356191846916-0.1639342194688309*I	0.5480761069758747-0.1077191873753309*I	0.17358070101917616-0.0345077173390333*I
0.0826851745280835-0.8483890552804397*I	0.05453594869582036-0.5561800028973873*I	0.01382381609015192-0.17447384437078814*I
0.719174049547847+0.45807115352038164*I	0.4720328621052266+0.3001998915051765*I	0.14397734557165712+0.09513858219761269*I
0.7173767142937546-0.4609710265168271*I	0.4708801439322959-0.30250080757851067*I	0.14346489743696145-0.09497413217359914*I
0.3275328890100127+0.7870838810864504*I	0.2148431211635601+0.5166161945433023*I	0.06995227831914703+0.15946106639438784*I
0.6591617560334208-0.5408734605410012*I	0.4324811926740221-0.3550872203613433*I	0.13222927545522103-0.11258031953632858*I
0.8496093178482254-0.07779898590484303*I	0.5570816675726195-0.05144194088822267*I	0.1712398183960247-0.017151672721610344*I
-0.7898660752420377+0.3230072112737986*I	-0.5175630507187252+0.21164451193768208*I	-0.16032765029740315+0.06365925161320243*I
0.1813012014682836+0.8333859278184008*I	0.11845162193563706+0.5465113363213906*I	0.03391670186402834+0.17184346335501458*I
-0.19010119022649585+0.8310285684262239*I	-0.12499033593098013+0.5451803075763411*I	-0.042533868954263615+0.1718287873381849*I
-0.6385331688500718-0.5649922621017951*I	-0.41888663485048416-0.370827594192755*I	-0.13007498861103572-0.11952835825221758*I
