0.8257096935448757+0.*I	0.5436285229346872+0.*I	0.15057068452350783+0.*I
-0.18782392513498117-0.24571149683657198*I	-0.12388234857260293-0.15708763677759566*I	-0.5157077001112704-0.7810642374027126*I
0.2640794635705848+0.2083105839824096*I	0.16554024315043706+0.13628773661109972*I	0.6551392275083874+0.6507175603711403*I
-0.29910687290469457-0.14916588538352862*I	-0.18654412814905943-0.09362865080003051*I	-0.8666191824199522-0.3247982852392437*I
0.3073161465660131-0.09967961766528258*I	0.19216643279706247-0.0653204053724387*I	0.9109359982280083-0.19101013941006875*I
-0.12231479762161743+0.2551557184569432*I	-0.07409202485942296+0.1620235306025284*I	-0.4850726688369617+0.815362416754416*I
-0.17336545870478787-0.22844135894996664*I	-0.10949510471801673-0.14167755994258788*I	-0.4807372062656606-0.8164337007313907*I
0.30459841067580606-0.10507353998937227*I	0.19197197010028533-0.06298840909124705*I	0.8861109403330397-0.28670626730429055*I
0.09108032973088001+0.22963426938476242*I	0.05751830436768979+0.15077376342459284*I	0.34722522133453876+0.896913952431237*I
-0.2252174793358191+0.15455759512678688*I	-0.1396437825478255+0.10087688245878512*I	-0.7024532261942503+0.643755872281085*I
-0.25305407255934315-0.07333159518231272*I	-0.16122826760742184-0.05057084817195954*I	-0.9451006444896641-0.1449972011320669*I
-0.17601785017276383-0.14864890608212886*I	-0.11317834601369553-0.0908697431032232*I	-0.7228131704799532-0.6447163458770505*I
-0.16242484839911492-0.23520496388952597*I	-0.10529468114911274-0.15316110350874518*I	-0.5621821345715722-0.7615948617587459*I
-0.20646988740269676-0.16114280900536176*I	-0.12742524737919797-0.1047477981018659*I	-0.6648108490230753-0.6889119635178518*I
-0.2563989554970629-0.03948400742042589*I	-0.1589843693051005-0.024428548644791256*I	-0.9202883727747033-0.268958628008481*I
-0.22761046280273314+0.14418212761510063*I	-0.14038293814339156+0.09230888650418348*I	-0.7698940130802924+0.5647461913308163*I
0.08792993099538166+0.1879389652369841*I	0.05871087719416519+0.11698764953913628*I	0.32665304190520766+0.9196031721103999*I
0.1909770999896937-0.07104521242796227*I	0.11814303095658119-0.04773282371880291*I	0.8680706700380894-0.4486838580523268*I
-0.15462789451433845-0.11587803986740831*I	-0.09681047615486434-0.07021716830628778*I	-0.8272633140528229-0.5259958670896765*I
0.11195214772283398+0.18993345852098034*I	0.06784330098715165+0.11820959229200229*I	0.3472370315065566+0.9082855067396703*I
-0.005958854152204367-0.19995440554578917*I	-0.00026106701350926687-0.12878532060508197*I	-0.17918963281620354-0.9612941625860868*I
0.06210065598120376+0.21794575874872435*I	0.04232729726285062+0.14172434809401535*I	0.3874373745708165+0.8885480948807066*I
-0.16076283921327744-0.12930354730996735*I	-0.10181579634247047-0.07778592025252945*I	-0.8592709200252237-0.4643222292647801*I
0.1297512719219098-0.11819737249555222*I	0.08515093092903685-0.0715173125569925*I	0.8181163802407643-0.5481745218220164*I
0.0750453360309616+0.18199687411309604*I	0.052395693774875934+0.11543248012445884*I	0.5383699329773651+0.8175450256329171*I
-0.13639568785305808+0.16475692228064806*I	-0.08770152479814178+0.10087041593152277*I	-0.5230979355485775+0.8221068791499547*I
-0.1764942427301372+0.019387436361757906*I	-0.11313548582845362+0.01699782847299286*I	-0.9371441658382881+0.3005252237913574*I
-0.1742670978570587+0.04625992954528976*I	-0.1112831150308483+0.024732713160147208*I	-0.9823749895614421+0.05165959530723829*I
-0.1498859251877331+0.022972337283080957*I	-0.09217355408295434+0.017169179850814315*I	-0.9512799350645527+0.27672403503918136*I
-0.10807165058453884+0.10762187761022456*I	-0.07025202214362591+0.07294227635265546*I	-0.5661318944035459+0.8119963731216966*I
0.08617147665182895+0.11304732990057431*I	0.051164806376554385+0.07451257300104037*I	0.4926835751766825+0.8615741958763374*I
0.17750970152636447-0.09593117947837188*I	0.10878332240566786-0.05885492427937522*I	0.8303405956269114-0.5176983800047451*I
-0.1664889744612264-0.059659543033264414*I	-0.10679990109511751-0.034375113875875725*I	-0.8505932647806107-0.4961643487279613*I
0.10077901586857264+0.13934440268409332*I	0.06739142928273088+0.0904933234012548*I	0.41403603314465187+0.8943632977806484*I
-0.044168675906878466-0.18304469173823623*I	-0.028852291200419513-0.12003544362708321*I	-0.29075149179129745-0.9372571886709505*I
0.08508516322438398+0.0897574785496686*I	0.053745274797851586+0.06192289315864553*I	0.577438437337781+0.8113527864767632*I
-0.12430230527245047-0.045902545120903165*I	-0.08073116773165588-0.03281068203369325*I	-0.9828293186105086-0.1506938116461315*I
0.07362904836661428-0.09928205599950042*I	0.05081548429400538-0.06293776997591556*I	0.4477915948797482-0.8896872787584553*I
0.133764098958985+0.009473370305335727*I	0.08510096902774669+0.01088899120004736*I	0.9427068928027351+0.3160796639138009*I
0.013194539491878685+0.1505874974035432*I	0.0061417443161672376+0.0986085265024103*I	0.30215596415995305+0.9434547123324435*I
-0.034849709079163946+0.16922390596429993*I	-0.02499799020253931+0.10994631881566677*I	-0.17723181390498027+0.9695906594616123*I
-0.04830587593566023+0.16009484024907827*I	-0.031193048527443666+0.1054385999938189*I	-0.19471458441622314+0.967565231135988*I
0.0012447891030512147+0.11218942075633079*I	0.005014990018468335+0.07392392859885909*I	0.24428153781252387+0.9677131548655321*I
0.1549112765390712+0.054463374153251594*I	0.09878454533550574+0.03059520591821721*I	0.900784391537276+0.40646643389828735*I
0.046405245751178395-0.12242042669586427*I	0.02705952997519319-0.07477704976819942*I	0.5857609864175828-0.8048470558164661*I
-0.13716957421182996-0.013918906180479397*I	-0.08381510242996545-0.012344625604709645*I	-0.9266055408208567-0.3600562073278144*I
0.042139621300200575+0.15028033523969478*I	0.026003372628054307+0.09897656467976727*I	0.3441611552273595+0.9280174738748697*I
-0.01422637390161191-0.09457439748751457*I	-0.012204965277136671-0.06291402662207572*I	0.04700383989138064-0.9995519498526573*I
-0.02341762196043934+0.09845141435708969*I	-0.013338463636510029+0.059125962885758214*I	0.019748968378246717+1.0001649473508205*I
-0.0289521078332277-0.08883121188783773*I	-0.01585428246578867-0.05938128867210028*I	-0.507858064036217-0.8627185474107417*I
0.09640899623815942-0.019431330012248296*I	0.06530955872785289-0.013944540471257438*I	0.9969386063257637+0.08221344485799706*I
-0.058923603254030246+0.1275482586150605*I	-0.03477906831154377+0.07708757069804655*I	-0.22641712021965177+0.9678291708484081*I
